filename,my_label,predicted
000c1434d8d7.png,gradable,gradable
00a8624548a9.png,gradable,gradable
00cb6555d108.png,borderline,gradable
00cc2b75cddd.png,gradable,gradable
00e4ddff966a.png,ungradable,gradable
00f6c1be5a33.png,gradable,gradable
0a4e1a29ffff.png,borderline,gradable
0a09aa7356c0.png,ungradable,ungradable
0a9ec1e99ce4.png,gradable,ungradable
0a38b552372d.png,borderline,gradable
0a61bddab956.png,gradable,gradable
0a74c92e287c.png,ungradable,gradable
0a85a1e8f9e9.png,gradable,gradable
0a902c80d5da.png,borderline,gradable
0a3202889f4d.png,gradable,gradable
0a1076183736.png,ungradable,gradable
0ac436400db4.png,gradable,ungradable
0ad7f631dedb.png,borderline,gradable
0ada12c0e78f.png,ungradable,gradable
0ae2dd2e09ea.png,gradable,gradable
0afbeeef0ff7.png,gradable,gradable
0afdfe5f422c.png,gradable,gradable
0b00f8a77510.png,borderline,ungradable
0b2ea8f268cf.png,gradable,ungradable
0b3efe669365.png,gradable,ungradable
0b8bdec9d869.png,borderline,gradable
0b64a0a06f9a.png,borderline,ungradable
0babc12807b2.png,gradable,gradable
0bf37ca3156a.png,borderline,ungradable
0c2e2369dfff.png,borderline,gradable
0c7e82daf5a0.png,ungradable,ungradable
0c43c79e8cfb.png,ungradable,gradable
0c55d58bebaf.png,gradable,gradable
0c76fd494af6.png,gradable,gradable
0c917c372572.png,borderline,gradable
0c38940e1f80.png,borderline,gradable
0ca0aee4d57e.png,ungradable,ungradable
0cae727cf119.png,gradable,gradable
0cb6b898389f.png,borderline,gradable
0cb14014117d.png,ungradable,ungradable
0cbcc7b23613.png,ungradable,ungradable
0cd31078cd08.png,borderline,gradable
0ce062f26edc.png,borderline,gradable
0ceb222f6629.png,borderline,gradable
0cecc2864b7f.png,gradable,ungradable
0d0a21fd354f.png,ungradable,ungradable
0d0b8fc9ab5c.png,borderline,gradable
0d9a9896f801.png,gradable,gradable
0d310aba6373.png,ungradable,ungradable
0d744aed4d64.png,borderline,gradable
